customer_id,campaign_id,touchpoint_id,touchpoint_date,clicked,converted
1,183,1,2019-07-12,1,0
2,548,2,2022-02-27,0,0
3,37,3,2024-05-11,1,1
4,14,4,2022-06-15,1,1
5,635,5,2024-07-08,1,1
6,595,6,2022-03-07,1,0
7,159,7,2019-02-05,1,1
8,494,8,2019-03-01,1,1
9,329,9,2019-05-16,1,1
10,614,10,2020-02-23,1,0
11,83,11,2022-02-21,0,0
12,556,12,2024-08-23,0,0
13,580,13,2019-09-23,0,0
14,560,14,2019-01-05,0,0
15,569,15,2019-01-18,1,0
16,587,16,2020-12-02,0,0
17,22,17,2019-03-27,1,0
18,132,18,2024-07-10,1,0
19,465,19,2023-05-09,1,1
20,456,20,2022-12-28,1,1
21,302,21,2023-06-04,0,0
22,267,22,2020-03-04,1,1
23,799,23,2024-08-07,1,1
24,395,24,2023-02-03,1,1
25,120,25,2024-05-16,1,1
26,246,26,2019-02-07,0,0
27,568,27,2021-07-04,1,0
28,38,28,2023-01-29,0,0
29,245,29,2019-05-31,1,1
30,21,30,2023-08-20,1,1
31,110,31,2023-09-05,1,0
32,606,32,2023-03-08,1,0
33,394,33,2021-12-08,1,1
34,410,34,2024-11-27,0,0
35,648,35,2024-01-09,1,0
36,743,36,2023-09-10,1,0
37,8,37,2019-08-12,1,1
38,444,38,2022-01-27,1,1
39,328,39,2024-09-19,0,0
40,290,40,2023-05-20,1,1
41,763,41,2021-10-07,1,1
42,511,42,2021-06-02,1,1
43,361,43,2022-03-03,1,1
44,599,44,2020-10-10,1,0
45,716,45,2020-12-10,0,0
46,219,46,2019-01-23,1,1
47,406,47,2021-07-20,1,0
48,753,48,2019-11-05,1,0
49,770,49,2024-10-06,1,0
50,621,50,2021-05-29,1,1
51,768,51,2023-07-28,1,0
52,794,52,2020-12-21,1,1
53,220,53,2021-02-26,1,1
54,595,54,2019-09-09,1,1
55,107,55,2022-10-13,1,1
56,581,56,2020-12-06,0,0
57,609,57,2024-12-17,1,0
58,724,58,2020-08-05,0,0
59,286,59,2020-08-25,1,0
60,749,60,2022-10-02,0,0
61,8,61,2023-02-23,1,0
62,189,62,2024-03-02,0,0
63,81,63,2023-03-13,1,1
64,108,64,2024-09-27,1,1
65,321,65,2019-08-14,1,0
66,579,66,2021-06-23,1,0
67,686,67,2021-11-21,1,1
68,346,68,2021-10-07,0,0
69,328,69,2024-01-20,1,1
70,555,70,2022-08-28,0,0
71,699,71,2021-08-09,1,1
72,302,72,2021-05-02,1,1
73,200,73,2020-09-11,1,0
74,419,74,2019-09-09,0,0
75,39,75,2019-11-18,0,0
76,732,76,2022-07-28,1,0
77,307,77,2019-12-30,1,1
78,4,78,2019-09-22,0,0
79,633,79,2020-07-28,1,1
80,77,80,2021-09-08,1,0
81,468,81,2020-04-26,1,1
82,179,82,2019-02-23,0,0
83,645,83,2019-05-17,0,0
84,741,84,2024-08-07,1,1
85,276,85,2019-06-07,0,0
86,152,86,2019-08-15,1,1
87,164,87,2022-05-29,1,1
88,290,88,2019-08-29,1,1
89,378,89,2020-03-02,1,0
90,621,90,2023-08-14,1,0
91,638,91,2020-05-30,0,0
92,752,92,2022-10-21,0,0
93,310,93,2020-12-17,0,0
94,389,94,2020-06-12,0,0
95,658,95,2024-11-04,1,1
96,764,96,2021-12-19,1,0
97,183,97,2022-02-27,1,1
98,306,98,2020-08-29,0,0
99,72,99,2023-07-21,0,0
100,219,100,2020-04-27,1,0
101,719,101,2024-10-07,0,0
102,173,102,2020-10-07,1,1
103,653,103,2022-09-13,1,1
104,272,104,2022-12-08,1,0
105,726,105,2023-12-19,1,1
106,468,106,2022-05-06,1,0
107,269,107,2023-11-19,1,0
108,20,108,2022-06-23,0,0
109,578,109,2024-08-25,1,0
110,503,110,2020-12-31,0,0
111,147,111,2021-08-01,1,1
112,429,112,2021-06-15,0,0
113,165,113,2020-01-21,0,0
114,310,114,2024-06-18,1,0
115,518,115,2023-12-25,1,1
116,14,116,2020-05-13,1,1
117,132,117,2022-09-22,1,0
118,755,118,2024-03-08,1,1
119,439,119,2022-11-12,1,0
120,743,120,2022-03-03,1,1
121,740,121,2022-01-09,1,1
122,674,122,2020-04-06,1,0
123,795,123,2023-02-27,0,0
124,263,124,2024-01-29,0,0
125,643,125,2022-04-02,1,1
126,225,126,2023-01-12,1,1
127,258,127,2024-11-27,1,1
128,234,128,2019-10-11,0,0
129,336,129,2019-10-19,1,1
130,409,130,2020-09-28,1,0
131,24,131,2019-05-08,1,1
132,271,132,2020-02-15,0,0
133,95,133,2019-03-29,0,0
134,142,134,2024-10-03,1,1
135,694,135,2021-03-08,1,0
136,718,136,2020-04-22,1,1
137,81,137,2020-05-17,1,1
138,274,138,2023-07-22,1,1
139,276,139,2024-03-29,0,0
140,465,140,2019-01-25,0,0
141,208,141,2022-09-11,0,0
142,296,142,2022-01-20,1,1
143,39,143,2023-08-28,0,0
144,288,144,2023-07-02,0,0
145,124,145,2023-07-30,1,0
146,283,146,2023-08-10,1,1
147,180,147,2019-11-08,1,0
148,97,148,2020-10-24,1,0
149,191,149,2023-11-20,1,1
150,74,150,2022-06-26,1,0
151,447,151,2024-05-03,1,0
152,785,152,2023-07-03,1,0
153,497,153,2023-07-21,1,0
154,561,154,2022-08-22,1,1
155,484,155,2020-03-06,1,1
156,722,156,2019-05-18,0,0
157,116,157,2020-04-19,0,0
158,535,158,2021-11-23,1,1
159,98,159,2023-03-15,1,1
160,328,160,2020-05-30,1,0
161,407,161,2020-06-23,0,0
162,313,162,2024-01-16,1,1
163,702,163,2023-08-30,0,0
164,694,164,2021-08-25,1,0
165,148,165,2024-06-03,1,0
166,342,166,2019-07-15,1,1
167,495,167,2023-01-27,1,0
168,23,168,2022-11-04,1,1
169,105,169,2022-08-30,0,0
170,675,170,2019-03-01,0,0
171,579,171,2020-09-19,1,0
172,558,172,2019-10-29,1,1
173,593,173,2022-12-29,1,0
174,659,174,2020-12-15,1,1
175,222,175,2023-11-14,1,1
176,15,176,2021-01-17,1,1
177,633,177,2023-12-05,1,1
178,78,178,2020-10-01,1,1
179,322,179,2019-03-03,0,0
180,241,180,2019-01-25,0,0
181,18,181,2024-09-19,1,1
182,768,182,2022-12-23,0,0
183,454,183,2023-02-03,1,0
184,443,184,2021-05-29,1,1
185,277,185,2022-07-12,1,0
186,424,186,2019-11-02,1,0
187,476,187,2023-02-13,0,0
188,27,188,2021-05-09,0,0
189,514,189,2021-08-23,0,0
190,464,190,2024-11-14,1,0
191,363,191,2024-12-04,0,0
192,383,192,2021-05-31,1,0
193,751,193,2020-03-13,1,1
194,525,194,2022-07-11,1,0
195,382,195,2023-04-16,1,1
196,184,196,2021-06-27,1,0
197,194,197,2019-02-15,1,1
198,462,198,2023-09-27,0,0
199,56,199,2020-11-14,1,0
200,230,200,2024-03-07,1,0
201,489,201,2022-05-31,0,0
202,28,202,2023-03-07,0,0
203,583,203,2021-12-25,1,1
204,722,204,2022-08-24,1,1
205,184,205,2021-06-01,1,0
206,425,206,2022-05-30,1,1
207,375,207,2019-06-22,1,1
208,41,208,2022-07-05,0,0
209,484,209,2020-03-19,1,0
210,260,210,2019-03-23,1,1
211,441,211,2023-11-28,0,0
212,84,212,2020-06-01,1,0
213,46,213,2021-03-08,1,1
214,440,214,2019-01-03,0,0
215,671,215,2019-11-25,1,1
216,519,216,2022-10-09,1,1
217,438,217,2024-11-09,1,1
218,136,218,2024-02-11,1,1
219,183,219,2024-07-04,1,0
220,709,220,2019-09-30,1,1
221,172,221,2023-12-04,0,0
222,788,222,2024-08-02,1,0
223,590,223,2021-10-12,1,1
224,690,224,2024-04-05,1,0
225,539,225,2024-05-19,0,0
226,120,226,2024-04-05,1,0
227,281,227,2021-08-14,1,0
228,308,228,2024-01-19,1,1
229,708,229,2022-09-23,1,0
230,277,230,2022-12-09,1,1
231,530,231,2022-05-24,1,0
232,295,232,2020-08-12,1,1
233,783,233,2021-12-10,1,1
234,53,234,2021-05-16,0,0
235,432,235,2020-07-02,1,1
236,52,236,2019-05-12,1,0
237,728,237,2019-02-11,0,0
238,72,238,2021-07-19,1,1
239,28,239,2024-09-12,0,0
240,469,240,2020-02-15,0,0
241,764,241,2023-01-30,1,1
242,547,242,2023-03-05,1,0
243,401,243,2020-05-12,1,1
244,201,244,2022-08-06,1,0
245,761,245,2024-06-09,1,1
246,611,246,2019-08-20,0,0
247,466,247,2023-10-24,1,1
248,652,248,2020-07-23,1,1
249,595,249,2023-03-23,1,0
250,560,250,2020-05-13,1,0
251,790,251,2020-05-31,1,1
252,379,252,2023-02-26,1,1
253,760,253,2021-09-21,1,1
254,177,254,2022-08-30,1,0
255,52,255,2020-06-27,1,1
256,79,256,2018-12-29,1,0
257,385,257,2024-12-08,0,0
258,576,258,2024-07-05,1,1
259,8,259,2021-09-14,1,0
260,214,260,2023-04-24,1,1
261,25,261,2024-08-06,1,1
262,450,262,2022-08-01,1,1
263,768,263,2019-04-02,1,0
264,755,264,2022-01-30,0,0
265,457,265,2022-10-25,1,1
266,461,266,2020-10-05,0,0
267,198,267,2024-10-09,0,0
268,94,268,2021-12-17,1,0
269,719,269,2019-10-30,1,1
270,437,270,2020-10-02,1,1
271,527,271,2022-08-18,1,1
272,690,272,2024-03-22,0,0
273,378,273,2021-04-25,1,0
274,587,274,2019-08-27,1,0
275,104,275,2019-12-21,1,1
276,680,276,2020-09-29,0,0
277,627,277,2020-04-12,1,1
278,39,278,2021-05-08,1,1
279,458,279,2021-08-30,1,1
280,364,280,2022-03-25,0,0
281,785,281,2024-07-10,1,1
282,135,282,2023-02-27,1,1
283,374,283,2019-05-04,1,1
284,232,284,2021-02-03,1,0
285,39,285,2023-05-21,1,1
286,47,286,2023-08-05,1,0
287,36,287,2019-06-10,1,1
288,95,288,2020-12-08,1,0
289,361,289,2020-09-08,1,1
290,525,290,2020-08-16,1,1
291,146,291,2019-09-25,1,1
292,368,292,2019-06-08,1,1
293,65,293,2023-09-29,0,0
294,228,294,2020-02-12,1,0
295,754,295,2022-07-02,0,0
296,520,296,2022-03-24,1,1
297,555,297,2019-06-25,1,1
298,756,298,2022-09-20,1,1
299,181,299,2024-02-20,1,1
300,501,300,2022-12-06,0,0
301,597,301,2022-04-10,1,0
302,155,302,2023-11-11,1,0
303,787,303,2021-11-23,0,0
304,535,304,2019-07-29,1,0
305,627,305,2023-04-07,1,1
306,435,306,2020-01-30,1,0
307,99,307,2019-03-13,1,1
308,616,308,2024-11-20,1,0
309,372,309,2021-06-11,1,0
310,563,310,2019-12-20,1,1
311,362,311,2021-01-08,1,1
312,112,312,2022-08-23,1,1
313,453,313,2020-12-01,0,0
314,756,314,2020-06-09,1,0
315,169,315,2024-11-03,1,1
316,584,316,2022-01-20,1,1
317,139,317,2022-05-30,1,1
318,231,318,2020-02-10,1,0
319,239,319,2023-08-11,1,0
320,253,320,2020-08-24,1,1
321,436,321,2024-05-26,1,1
322,561,322,2021-10-18,0,0
323,422,323,2024-09-21,1,1
324,303,324,2021-07-13,1,1
325,72,325,2019-04-05,1,1
326,263,326,2020-01-21,1,1
327,222,327,2023-12-17,1,1
328,77,328,2024-12-03,0,0
329,62,329,2024-11-03,1,1
330,471,330,2020-04-02,1,0
331,157,331,2023-04-15,1,0
332,125,332,2020-03-23,0,0
333,741,333,2019-05-06,1,0
334,161,334,2023-01-21,0,0
335,541,335,2020-11-05,0,0
336,626,336,2024-10-20,0,0
337,591,337,2023-08-29,1,1
338,535,338,2019-03-16,1,1
339,106,339,2024-07-20,1,0
340,131,340,2021-09-01,1,1
341,357,341,2024-07-31,1,1
342,685,342,2024-08-24,0,0
343,776,343,2023-10-02,0,0
344,797,344,2024-04-17,1,0
345,2,345,2022-03-10,1,0
346,233,346,2024-10-19,0,0
347,369,347,2024-01-13,1,1
348,251,348,2021-07-25,0,0
349,108,349,2019-12-05,1,0
350,276,350,2020-03-25,0,0
351,180,351,2019-05-08,1,0
352,725,352,2022-06-18,1,1
353,293,353,2020-09-22,1,1
354,584,354,2022-12-14,0,0
355,795,355,2023-07-04,1,1
356,175,356,2020-09-09,0,0
357,123,357,2024-09-09,1,1
358,227,358,2020-11-05,1,0
359,444,359,2019-04-30,1,1
360,428,360,2020-12-18,1,1
361,83,361,2020-07-13,0,0
362,765,362,2022-03-21,1,0
363,658,363,2022-01-31,1,1
364,632,364,2022-03-01,0,0
365,65,365,2022-07-15,1,0
366,281,366,2019-01-21,1,0
367,795,367,2019-11-14,1,1
368,391,368,2021-04-04,1,0
369,428,369,2024-09-15,1,1
370,618,370,2019-08-10,1,0
371,107,371,2020-06-18,0,0
372,548,372,2020-09-19,1,0
373,659,373,2023-11-22,1,0
374,262,374,2022-02-22,1,1
375,159,375,2022-07-21,0,0
376,265,376,2020-09-28,0,0
377,468,377,2022-07-03,0,0
378,202,378,2024-01-26,0,0
379,155,379,2022-02-26,1,1
380,13,380,2020-09-27,1,0
381,297,381,2021-05-06,1,1
382,498,382,2019-07-08,1,0
383,597,383,2022-05-09,1,0
384,792,384,2021-11-23,0,0
385,245,385,2022-12-19,0,0
386,300,386,2024-01-25,0,0
387,362,387,2021-04-28,1,1
388,354,388,2020-07-25,1,1
389,521,389,2019-01-13,0,0
390,386,390,2019-03-29,1,1
391,759,391,2022-02-17,0,0
392,312,392,2021-09-14,0,0
393,414,393,2022-12-19,1,1
394,278,394,2024-02-24,1,0
395,750,395,2019-05-22,1,1
396,715,396,2022-04-24,1,0
397,759,397,2022-03-08,1,0
398,747,398,2023-02-19,1,0
399,593,399,2021-01-06,1,1
400,356,400,2021-04-11,0,0
401,525,401,2019-04-24,1,1
402,16,402,2022-06-29,0,0
403,45,403,2022-11-15,1,0
404,321,404,2024-07-23,1,1
405,651,405,2020-01-22,1,0
406,326,406,2020-01-10,0,0
407,148,407,2022-08-09,1,1
408,355,408,2021-12-03,1,1
409,236,409,2023-08-31,1,1
410,703,410,2024-01-16,1,0
411,613,411,2021-01-21,1,1
412,105,412,2021-05-20,0,0
413,474,413,2019-06-18,1,1
414,762,414,2024-06-20,1,1
415,396,415,2024-06-23,1,1
416,446,416,2022-02-11,0,0
417,606,417,2020-08-07,1,1
418,220,418,2023-06-07,0,0
419,442,419,2020-06-06,0,0
420,645,420,2020-05-05,1,0
421,667,421,2020-08-31,1,1
422,28,422,2020-08-16,1,1
423,794,423,2023-04-19,0,0
424,475,424,2024-02-18,0,0
425,628,425,2021-09-04,0,0
426,305,426,2019-08-24,1,0
427,746,427,2022-11-06,1,1
428,405,428,2020-04-29,1,0
429,513,429,2023-05-04,1,0
430,502,430,2022-02-13,1,0
431,348,431,2021-09-14,1,0
432,240,432,2019-01-18,1,1
433,570,433,2021-06-10,1,1
434,695,434,2022-11-27,0,0
435,337,435,2020-10-08,0,0
436,26,436,2020-02-11,0,0
437,409,437,2024-07-30,1,0
438,77,438,2022-12-29,0,0
439,217,439,2020-03-03,1,1
440,328,440,2020-01-12,1,1
441,774,441,2023-12-26,1,0
442,23,442,2019-05-07,0,0
443,756,443,2021-06-30,1,1
444,670,444,2024-12-12,1,0
445,718,445,2020-05-01,1,1
446,310,446,2019-08-19,1,1
447,599,447,2022-04-18,0,0
448,267,448,2020-11-22,1,1
449,415,449,2022-10-09,1,1
450,646,450,2022-05-31,0,0
451,267,451,2022-10-19,0,0
452,333,452,2023-04-13,1,1
453,780,453,2024-10-15,0,0
454,450,454,2024-05-14,0,0
455,565,455,2019-04-04,0,0
456,611,456,2019-09-03,1,0
457,247,457,2023-11-07,0,0
458,36,458,2021-08-19,1,1
459,401,459,2022-05-12,1,1
460,28,460,2019-08-15,0,0
461,220,461,2020-09-10,1,0
462,406,462,2019-05-24,0,0
463,614,463,2021-09-23,0,0
464,775,464,2024-03-13,1,0
465,271,465,2019-01-12,1,1
466,736,466,2020-10-05,1,0
467,651,467,2024-03-15,0,0
468,792,468,2021-05-20,0,0
469,511,469,2023-02-12,0,0
470,286,470,2024-02-24,1,0
471,454,471,2021-07-13,1,0
472,762,472,2022-05-04,1,1
473,317,473,2019-08-19,0,0
474,590,474,2024-04-18,0,0
475,297,475,2020-04-29,0,0
476,338,476,2023-10-22,1,0
477,307,477,2023-11-17,1,0
478,428,478,2023-07-23,0,0
479,351,479,2024-11-03,0,0
480,511,480,2020-12-01,0,0
481,525,481,2021-03-10,1,1
482,492,482,2023-10-15,1,1
483,594,483,2019-10-22,1,1
484,9,484,2020-04-13,0,0
485,497,485,2020-06-06,0,0
486,725,486,2022-12-07,1,0
487,560,487,2020-08-01,0,0
488,561,488,2020-08-01,1,1
489,440,489,2023-02-24,1,1
490,552,490,2022-11-08,1,1
491,792,491,2020-07-12,1,1
492,738,492,2021-05-16,1,0
493,108,493,2023-11-10,0,0
494,245,494,2022-06-16,1,1
495,255,495,2019-09-06,1,0
496,33,496,2024-11-26,1,1
497,23,497,2020-09-30,1,1
498,566,498,2023-06-19,1,1
499,49,499,2020-03-30,0,0
500,462,500,2021-02-03,0,0
501,590,501,2024-01-28,1,1
502,336,502,2019-06-09,1,1
503,358,503,2023-01-10,1,1
