customer_id,age,gender,country,acquisition_channel,signup_date,customer_status,loyalty_tier,campaign_id,last_active_date
1,56.0,Other,Germany,referral,2019-07-21,one_time,none,183,2021-04-06
2,38.0,Other,Netherlands,email,2022-03-04,churned,none,548,2024-11-27
3,28.0,Other,Australia,referral,2024-05-21,repeat,bronze,37,2025-01-07
4,19.0,Female,Australia,paid_search,2022-06-28,repeat,bronze,14,2024-03-20
5,38.0,Female,Australia,referral,2024-07-17,one_time,none,635,2024-11-12
6,61.0,Other,Germany,paid_search,2022-03-10,one_time,none,595,2023-06-19
7,,Other,Australia,email,2019-02-10,one_time,none,159,2019-07-09
8,61.0,Male,Germany,referral,2019-03-10,loyal,silver,494,2019-09-11
9,68.0,Male,Netherlands,paid_search,2019-05-19,repeat,bronze,329,2020-07-20
10,,Female,US,paid_search,2020-03-02,repeat,bronze,614,2022-03-01
11,26.0,Female,France,social,2022-03-01,one_time,none,83,2022-10-04
12,64.0,Male,Spain,email,2024-09-06,churned,none,556,2026-11-18
13,31.0,Female,Spain,social,2019-09-27,loyal,silver,580,2019-12-17
14,19.0,Female,US,social,2019-01-15,one_time,none,560,2020-11-26
15,,Female,France,paid_search,2019-01-22,one_time,none,569,2020-08-04
16,27.0,Female,Netherlands,social,2020-12-05,one_time,none,587,2022-04-28
17,57.0,Male,US,referral,2019-03-30,one_time,none,22,2020-12-05
18,41.0,Male,UK,paid_Search,2024-07-24,repeat,bronze,132,2025-04-09
19,32.0,Male,Netherlands,organic,2023-05-13,repeat,bronze,465,2024-10-04
20,41.0,Other,Germany,email,2023-01-09,one_time,none,456,2023-06-17
21,34.0,Other,UK,email,2023-06-18,repeat,bronze,302,2023-09-10
22,,Female,UK,Email,2020-03-11,one_time,none,267,2021-01-05
23,24.0,Female,UK,referral,2024-08-15,one_time,none,799,2027-05-01
24,52.0,Female,Germany,email,2023-02-13,one_time,none,395,2023-06-22
25,18.0,Other,Australia,email,2024-05-28,repeat,bronze,120,2024-09-03
26,18.0,Other,Netherlands,email,2019-02-13,loyal,silver,246,2021-09-10
27,26.0,Female,US,social,2021-07-13,one_time,none,568,2022-06-06
28,30.0,Other,UK,social,2023-02-03,repeat,bronze,38,2025-10-29
29,49.0,Male,Netherlands,referral,2019-06-02,repeat,bronze,245,2020-12-11
30,32.0,Male,Spain,email,2023-08-21,one_time,none,21,2024-09-07
31,68.0,Female,US,referral,2023-09-14,repeat,bronze,110,2025-07-02
32,23.0,Female,Australia,email,2023-03-13,one_time,none,606,2023-09-10
33,45.0,Female,UK,Email,2021-12-14,one_time,none,394,2022-12-08
34,44.0,Male,UK,email,2024-12-09,vip,gold,410,2025-05-03
35,56.0,Other,UK,referral,2024-01-20,churned,none,648,2025-08-13
36,50.0,Other,Germany,organic,2023-09-24,loyal,silver,743,2024-09-10
37,69.0,Male,US,social,2019-08-24,one_time,none,8,2021-04-07
38,29.0,Female,Germany,organic,2022-02-03,one_time,none,444,2023-09-27
39,54.0,Male,Germany,organic,2024-09-30,repeat,bronze,328,2025-06-15
40,19.0,Female,Netherlands,referral,2023-06-01,repeat,bronze,290,2025-08-09
41,49.0,Other,Australia,paid_search,2021-10-21,one_time,none,763,2022-11-14
42,61.0,Female,Spain,social,2021-06-06,repeat,bronze,511,2021-07-10
43,28.0,Male,Netherlands,referral,2022-03-10,one_time,none,361,2022-05-06
44,,Female,Germany,organic,2020-10-22,vip,gold,599,2022-12-26
45,26.0,Female,Spain,referral,2020-12-11,one_time,none,716,2022-01-08
46,20.0,Other,France,email,2019-01-24,repeat,bronze,219,2020-05-29
47,43.0,Other,France,social,2021-08-01,one_time,none,406,2022-04-18
48,58.0,Other,US,organic,2019-11-08,repeat,bronze,753,2021-01-05
49,28.0,Male,US,Email,2024-10-15,repeat,bronze,770,2027-07-09
50,52.0,Female,Spain,organic,2021-05-30,one_time,none,621,2023-11-14
51,69.0,Female,UK,social,2023-08-02,churned,none,768,2025-08-12
52,22.0,Other,Netherlands,organic,2020-12-29,loyal,silver,794,2023-05-21
53,58.0,Other,France,organic,2021-03-06,vip,gold,220,2021-12-31
54,41.0,Male,Spain,social,2019-09-10,loyal,silver,595,2022-02-06
55,55.0,Female,Germany,organic,2022-10-21,repeat,bronze,107,2023-09-19
56,,Female,Spain,Email,2020-12-14,vip,gold,581,2022-01-30
57,19.0,Male,UK,Email,2024-12-28,one_time,none,609,2026-08-07
58,50.0,Female,Canada,social,2020-08-09,one_time,none,724,2020-10-05
59,25.0,Male,Spain,organic,2020-09-01,one_time,none,286,2022-03-03
60,65.0,Other,Australia,referral,2022-10-10,one_time,none,749,2024-11-21
61,68.0,Other,Germany,paid_search,2023-02-28,one_time,none,8,2023-10-14
62,38.0,Other,Spain,organic,2024-03-12,one_time,none,189,2025-12-07
63,22.0,Other,France,email,2023-03-21,loyal,silver,81,2023-07-10
64,66.0,Female,Canada,referral,2024-09-28,one_time,none,108,2025-01-23
65,23.0,Male,Canada,referral,2019-08-27,one_time,none,321,2020-10-19
66,66.0,Other,Germany,social,2021-07-07,repeat,bronze,579,2023-07-04
67,50.0,Male,Canada,organic,2021-12-02,one_time,none,686,2024-01-25
68,20.0,Male,US,paid_search,2021-10-15,loyal,silver,346,2023-06-16
69,20.0,Female,Spain,paid_search,2024-01-28,one_time,none,328,2026-05-29
70,44.0,Female,UK,organic,2022-09-03,churned,none,555,2023-12-27
71,26.0,Other,Canada,paid_search,2021-08-23,loyal,silver,699,2022-11-28
72,43.0,Male,Spain,referral,2021-05-10,one_time,none,302,2022-06-17
73,24.0,Male,France,organic,2020-09-20,one_time,none,200,2021-12-28
74,25.0,Female,France,email,2019-09-15,loyal,silver,419,2020-04-18
75,40.0,Female,US,email,2019-11-29,repeat,bronze,39,2022-01-17
76,42.0,Female,Canada,paid_search,2022-08-01,repeat,bronze,732,2023-09-24
77,39.0,Female,Australia,email,2020-01-08,loyal,silver,307,2020-09-11
78,54.0,Male,France,social,2019-10-03,one_time,none,4,2020-02-17
79,61.0,Female,Canada,social,2020-08-01,one_time,none,633,2022-11-27
80,47.0,Other,Spain,social,2021-09-16,one_time,none,77,2023-04-18
81,,Female,Australia,email,2020-05-05,loyal,silver,468,2022-11-27
82,34.0,Other,France,paid_search,2019-02-24,repeat,bronze,179,2021-10-28
83,43.0,Male,Australia,paid_Search,2019-05-22,one_time,none,645,2020-06-03
84,29.0,Female,US,organic,2024-08-14,one_time,none,741,2026-11-09
85,64.0,Female,Australia,organic,2019-06-13,one_time,none,276,2020-12-15
86,,Male,Spain,referral,2019-08-24,one_time,none,152,2019-10-18
87,56.0,Male,Australia,referral,2022-06-07,repeat,bronze,164,2022-08-23
88,20.0,Other,Canada,organic,2019-09-04,repeat,bronze,290,2022-02-08
89,46.0,Male,Netherlands,organic,2020-03-07,loyal,silver,378,2021-04-10
90,47.0,Male,France,paid_search,2023-08-24,repeat,bronze,621,2023-10-06
91,43.0,Other,France,organic,2020-06-08,one_time,none,638,2022-03-11
92,47.0,Female,US,referral,2022-11-04,repeat,bronze,752,2023-06-08
93,53.0,Other,US,paid_search,2020-12-21,loyal,silver,310,2022-06-27
