transaction_id,customer_id,product_category,purchase_value,discount_used,purchase_date,is_refunded,refund_date,refund_reason
1,8141,home,380.95,0,2023-09-05,0,,
2,1297,fashion,67.08,0,2019-08-07,0,,
3,7930,toys,43.37,1,2020-02-07,1,1581897600000000000,late_delivery
4,2426,electronics,1191.45,0,2020-10-02,0,,
5,6614,fashion,112.21,0,2023-09-15,0,,
6,5971,sports,118.3,1,2021-03-31,0,,
7,8617,fashion,120.4,0,2021-03-23,0,,
8,2179,electronics,339.02,0,2021-11-14,0,,
9,8357,beauty,75.79,1,2020-03-27,0,,
10,6688,toys,74.74,0,2021-08-18,1,1630972800000000000,late_delivery
11,8059,home,150.03,1,2022-10-05,0,,
12,3597,toys,31.76,1,2021-06-20,0,,
13,3224,fashion,107.0,0,2023-08-07,1,1691452800000000000,changed_mind
14,7159,sports,271.91,0,2019-07-04,0,,
15,6633,electronics,970.52,0,2022-05-18,0,,
16,5332,toys,13.06,0,2023-05-01,0,,
17,2190,sports,214.05,0,2019-11-24,0,,
18,1150,sports,161.14,0,2023-10-04,0,,
19,3916,sports,153.15,0,2023-09-02,0,,
20,5368,toys,58.41,0,2023-10-18,0,,
21,7442,electronics,356.04,1,2021-12-13,0,,
22,4449,toys,78.7,0,2023-02-19,0,,
23,1056,fashion,123.25,0,2023-12-06,0,,
24,2465,electronics,533.94,0,2020-04-20,0,,
25,4779,sports,188.06,0,2023-09-17,0,,
26,131,fashion,54.64,1,2022-10-28,0,,
27,2846,toys,54.37,1,2019-09-27,0,,
28,4432,electronics,179.63,0,2022-06-06,0,,
29,9436,toys,33.88,0,2021-09-28,0,,
30,7768,toys,62.33,1,2020-01-07,1,1580428800000000000,late_delivery
31,948,beauty,246.23,0,2022-02-16,0,,
32,1730,beauty,90.82,0,2022-11-26,0,,
33,4383,toys,47.76,1,2023-07-06,0,,
34,9203,beauty,167.98,0,2024-07-16,1,1721779200000000000,changed_mind
35,8272,home,233.87,0,2021-09-24,1,1632960000000000000,wrong_item
36,5830,fashion,56.55,0,2023-02-07,1,1676160000000000000,changed_mind
37,6769,home,363.48,1,2024-07-17,0,,
38,8358,electronics,414.98,0,2020-06-25,0,,
39,4930,sports,275.09,0,2021-12-03,0,,
